id,url,image_name,link
BOT00556Z,https://img.faballey.com/Images/Product/BOT00556Z/1.jpg,Bottle Green Knit Drawstring Jogger Pants,https://www.faballey.com/bottle-green-knit-drawstring-jogger-pants-79/prdt
BOT00557Z,https://img.faballey.com/Images/Product/BOT00557Z/1.jpg,Navy Drawstring Jogger Pants,https://www.faballey.com/blue-drawstring-jogger-pants-79/prdt
BOT00483Z,https://img.faballey.com/Images/Product/BOT00483Z/1.jpg,Navy Crushed Culottes ,https://www.faballey.com/navy-crushed-culottes-79/prdt
BOT00481Z,https://img.faballey.com/Images/Product/BOT00481Z/1.jpg,Wine Crushed Culottes ,https://www.faballey.com/wine-crushed-culottes-79/prdt
BOT00392A,https://img.faballey.com/Images/Product/BOT00392A/1.jpg,Olive Side Stripe Leggings ,https://www.faballey.com/olive-side-stripe-leggings-117/prdt
BOT00271A,https://img.faballey.com/Images/Product/BOT00271A/1.jpg,Leather Panel Jeggings - Blue,https://www.faballey.com/leather-panel-jeggings-blue-117/prdt
TOP05006Z,https://img.faballey.com/Images/Product/TOP05006Z/1.jpg,Maroon Floral Tie Neck Blouse ,https://www.faballey.com/maroon-floral-tie-neck-blouse-78/prdt
TOP05138Z,https://img.faballey.com/Images/Product/TOP05138Z/1.jpg,Beige Square Neck Knit Top,https://www.faballey.com/beige-square-neck-knit-top-78/prdt
TOP05114Z,https://img.faballey.com/Images/Product/TOP05114Z/1.jpg,Navy V-Neck Peplum Top ,https://www.faballey.com/navy-v-neck-peplum-top-78/prdt
TOP05033Z,https://img.faballey.com/Images/Product/TOP05033Z/1.jpg,Purple Embroidered Smocked Poplin Top,https://www.faballey.com/purple-embroidered-smocked-poplin-top-78/prdt
TOP05150Z,https://img.faballey.com/Images/Product/TOP05150Z/1.jpg,Powder Blue Scoop Neck Knit Top,https://www.faballey.com/powder-blue-scoop-neck-knit-top-78/prdt
TOP05142Z,https://img.faballey.com/Images/Product/TOP05142Z/1.jpg,Purple Frilled Shoulder Knit Top,https://www.faballey.com/purple-frilled-shoulder-knit-top-78/prdt
TOP05154Z,https://img.faballey.com/Images/Product/TOP05154Z/1.jpg,Pink Ruched Sleeve Knit Top,https://www.faballey.com/pink-ruched-sleeve-knit-top-78/prdt
